CLIENTNUM,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category
768805383,Existing Customer,45,M,3,High School,Married,$60K - $80K,Blue
818770008,Existing Customer,49,F,5,Graduate,Single,Less than $40K,Blue
713982108,Existing Customer,51,M,3,Graduate,Married,$80K - $120K,Blue
769911858,Existing Customer,40,F,4,High School,Unknown,Less than $40K,Blue
709106358,Existing Customer,40,M,3,Uneducated,Married,$60K - $80K,Blue
713061558,Existing Customer,44,M,2,Graduate,Married,$40K - $60K,Blue
810347208,Existing Customer,51,M,4,Unknown,Married,$120K +,Gold
818906208,Existing Customer,32,M,0,High School,Unknown,$60K - $80K,Silver
710930508,Existing Customer,37,M,3,Uneducated,Single,$60K - $80K,Blue
719661558,Existing Customer,48,M,2,Graduate,Single,$80K - $120K,Blue
708790833,Existing Customer,42,M,5,Uneducated,Unknown,$120K +,Blue
710821833,Existing Customer,65,M,1,Unknown,Married,$40K - $60K,Blue
710599683,Existing Customer,56,M,1,College,Single,$80K - $120K,Blue
816082233,Existing Customer,35,M,3,Graduate,Unknown,$60K - $80K,Blue
712396908,Existing Customer,57,F,2,Graduate,Married,Less than $40K,Blue
714885258,Existing Customer,44,M,4,Unknown,Unknown,$80K - $120K,Blue
709967358,Existing Customer,48,M,4,Post-Graduate,Single,$80K - $120K,Blue
753327333,Existing Customer,41,M,3,Unknown,Married,$80K - $120K,Blue
806160108,Existing Customer,61,M,1,High School,Married,$40K - $60K,Blue
709327383,Existing Customer,45,F,2,Graduate,Married,Unknown,Blue
806165208,Existing Customer,47,M,1,Doctorate,Divorced,$60K - $80K,Blue
708508758,Attrited Customer,62,F,0,Graduate,Married,Less than $40K,Blue
784725333,Existing Customer,41,M,3,High School,Married,$40K - $60K,Blue
811604133,Existing Customer,47,F,4,Unknown,Single,Less than $40K,Blue
789124683,Existing Customer,54,M,2,Unknown,Married,$80K - $120K,Blue
771071958,Existing Customer,41,F,3,Graduate,Single,Less than $40K,Blue
720466383,Existing Customer,59,M,1,High School,Unknown,$40K - $60K,Blue
804424383,Existing Customer,63,M,1,Unknown,Married,$60K - $80K,Blue
718813833,Existing Customer,44,F,3,Uneducated,Single,Unknown,Blue
806624208,Existing Customer,47,M,4,High School,Married,$40K - $60K,Blue
778348233,Existing Customer,53,M,3,Unknown,Married,$80K - $120K,Blue
712991808,Existing Customer,53,M,2,Uneducated,Married,$60K - $80K,Blue
709029408,Existing Customer,41,M,4,Graduate,Married,$60K - $80K,Blue
788658483,Existing Customer,53,F,2,College,Married,Less than $40K,Blue
787937058,Existing Customer,58,M,0,Graduate,Married,$80K - $120K,Blue
715318008,Existing Customer,55,F,1,College,Single,Less than $40K,Blue
713962233,Existing Customer,55,F,3,Graduate,Married,Less than $40K,Blue
785432733,Existing Customer,42,F,4,High School,Married,Less than $40K,Gold
715190283,Existing Customer,57,F,1,Graduate,Unknown,$40K - $60K,Blue
708300483,Attrited Customer,66,F,0,Doctorate,Married,Unknown,Blue
827111283,Existing Customer,45,M,3,Graduate,Single,$80K - $120K,Blue
758551608,Existing Customer,51,M,2,Unknown,Married,$40K - $60K,Blue
773146383,Existing Customer,50,F,1,College,Single,$40K - $60K,Silver
778493808,Existing Customer,49,M,3,High School,Married,$60K - $80K,Blue
720572508,Existing Customer,38,F,4,Graduate,Single,Unknown,Blue
712661433,Existing Customer,49,M,4,Uneducated,Single,$80K - $120K,Blue
789172683,Existing Customer,56,M,2,Doctorate,Married,$60K - $80K,Blue
738406533,Existing Customer,59,M,1,Doctorate,Married,$40K - $60K,Blue
799723908,Existing Customer,46,M,3,High School,Married,$80K - $120K,Blue
771490833,Existing Customer,52,M,1,College,Single,$80K - $120K,Blue
720756708,Existing Customer,52,F,3,Unknown,Married,Less than $40K,Blue
779471883,Attrited Customer,54,F,1,Graduate,Married,Less than $40K,Blue
711525033,Existing Customer,66,F,0,High School,Married,Less than $40K,Blue
712813458,Existing Customer,49,M,2,Unknown,Married,$120K +,Blue
714374133,Attrited Customer,56,M,2,Graduate,Married,$120K +,Blue
